Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks,"CTR, %",Conversions,User Purchase,Actual Adv Payout
358,VISITDENVER,US-MS,Mississippi,8304,31,0.37,64,0,64.557
358,VISITDENVER,US-TN,Tennessee,8305,57,0.69,108,0,62.613
358,VISITDENVER,US-UT,Utah,8305,42,0.51,26,0,50.66
256,SHEEX-MDG-TRADR,US-WI,Wisconsin,8305,305,3.67,66,176.75,96.939
358,VISITDENVER,US-OH,Ohio,8308,64,0.77,104,0,50.763
358,VISITDENVER,US-MA,Massachusetts,8311,23,0.28,47,0,50.123
359,THEGREAT,US-FL,Florida,8315,198,2.38,0,0,67.502
351,PINNACLEBANK&BOC-KARSHHAGAN,US-WY,Wyoming,8315,34,0.41,11,0,82.401
358,VISITDENVER,US-MA,Massachusetts,8317,39,0.47,87,0,56.246
358,VISITDENVER,US-WI,Wisconsin,8319,18,0.22,42,0,70.976
358,VISITDENVER,US-NC,North Carolina,8321,34,0.41,57,0,61.172
325,STAUD,US-MN,Minnesota,8322,1214,14.59,380,1838.48,152.602
358,VISITDENVER,US-KY,Kentucky,8328,46,0.55,79,0,59.114
358,VISITDENVER,US-SC,South Carolina,8328,52,0.62,62,0,74.204
358,VISITDENVER,US-KS,Kansas,8335,32,0.38,38,0,47.593
359,THEGREAT,US-NE,Nebraska,8338,222,2.66,1,323.35,81.203
381,MODERNTREASURY-MDG-TRADR,US-NC,North Carolina,8339,44,0.53,39,0,222.661
174,POSITEC-WORX-TRADR,US-KS,Kansas,8342,92,1.11,243,521.43,29.063
351,PINNACLEBANK&BOC-KARSHHAGAN,US-CO,Colorado,8344,30,0.36,97,0,97.246
358,VISITDENVER,US-HI,Hawaii,8345,28,0.34,44,0,67.111
252,SMARTBIZ-MDG-TRADR,US-CA,California,8346,30,0.36,41,0,164.625
174,POSITEC-WORX-TRADR,US-NM,New Mexico,8348,119,1.43,170,0,50.71
358,VISITDENVER,US-MI,Michigan,8349,36,0.43,62,0,30.387
358,VISITDENVER,US-HI,Hawaii,8353,25,0.3,33,0,53.184
358,VISITDENVER,US-WV,West Virginia,8353,52,0.62,83,0,72.775
358,VISITDENVER,US-CA,California,8354,7,0.08,9,0,52.133
358,VISITDENVER,US-MO,Missouri,8355,29,0.35,62,0,37.834
381,MODERNTREASURY-MDG-TRADR,US-CO,Colorado,8356,75,0.9,66,0,183.606
174,POSITEC-WORX-TRADR,US-CA,California,8358,134,1.61,143,1259.07,64.177
358,VISITDENVER,US-KS,Kansas,8359,23,0.28,28,0,44.485
358,VISITDENVER,US-PA,Pennsylvania,8359,33,0.39,55,0,39.858
385,DUKECANNON,US-FL,Florida,8360,435,5.21,202,240.74,249.553
174,POSITEC-WORX-TRADR,US-CO,Colorado,8361,65,0.78,334,150.02,27.973
358,VISITDENVER,US-MA,Massachusetts,8363,36,0.43,78,0,40.534
358,VISITDENVER,US-GA,Georgia,8364,32,0.38,52,0,81.067
358,VISITDENVER,US-KS,Kansas,8367,20,0.24,23,0,50.961
296,GENUINEGUIDEGEAR,CA-AB,Alberta,8370,587,7.01,165,3679.09,39.093
351,PINNACLEBANK&BOC-KARSHHAGAN,US-CO,Colorado,8374,41,0.49,56,0,128.582
174,POSITEC-WORX-TRADR,US-GA,Georgia,8376,330,3.94,250,3659.16,70.918
358,VISITDENVER,US-OR,Oregon,8377,28,0.33,60,0,34.896
274,BOBOS,US-CO,Colorado,8381,46,0.54,66,278.08,62.244
358,VISITDENVER,US-KS,Kansas,8381,35,0.42,45,0,41.64
358,VISITDENVER,US-CA,California,8382,27,0.32,30,0,42.064
358,VISITDENVER,US-CT,Connecticut,8383,33,0.39,69,0,39.341
358,VISITDENVER,US-PA,Pennsylvania,8384,37,0.44,45,0,61.054
174,POSITEC-WORX-TRADR,US-MA,Massachusetts,8391,187,2.23,170,1079.67,83.296
382,FILSON,US-MA,Massachusetts,8393,2116,25.22,404,1094.63,178.717
295,BENCHMADE,US-AZ,Arizona,8394,13,0.16,59,0,43.065
174,POSITEC-WORX-TRADR,US-WI,Wisconsin,8397,347,4.13,282,4910.43,49.101
381,MODERNTREASURY-MDG-TRADR,US-TX,Texas,8399,49,0.58,44,0,216.854
182,ZIPRECRUITER-MDG-TRADR,US-IL,Illinois,8403,0,0,341,0,177.487
358,VISITDENVER,US-LA,Louisiana,8407,31,0.37,60,0,79.346
252,SMARTBIZ-MDG-TRADR,US-CA,California,8408,35,0.42,54,0,146.961
349,WINE ENTHUSIAST,US-CO,Colorado,8409,15,0.18,13,691.4,55.831
358,VISITDENVER,US-MI,Michigan,8411,32,0.38,50,0,43.822
358,VISITDENVER,US-NH,New Hampshire,8411,46,0.55,81,0,73.2
